ring_ID,Week_Day,Month_Date,Month,Year,Time,Doorbot_Description,Kind,Detection_Type
6980859772151795000,Sat,03,Jul,2021,17:21:15,Front Door,motion,human
6980860047029702000,Sat,03,Jul,2021,17:22:19,Front Door,motion,human
6980860622555319000,Sat,03,Jul,2021,17:24:33,Front Door,motion,human
6980861799376358000,Sat,03,Jul,2021,17:29:09,Front Door,motion,human
6980864556745362000,Sat,03,Jul,2021,17:39:50,Front Door,motion,human
6980865037781700000,Sat,03,Jul,2021,17:41:42,Front Door,motion,human
6980865510228102000,Sat,03,Jul,2021,17:43:32,Front Door,motion,other_motion
6980865845235551000,Sat,03,Jul,2021,17:44:50,Front Door,motion,human
6980866128703393000,Sat,03,Jul,2021,17:45:55,Front Door,motion,human
6980868228942401000,Sat,03,Jul,2021,17:54:04,Front Door,motion,human
6980868516705209000,Sat,03,Jul,2021,17:55:12,Front Door,motion,human
6980868787288149000,Sat,03,Jul,2021,17:56:14,Front Door,motion,human
6980870058598469000,Sat,03,Jul,2021,18:01:11,Front Door,motion,human
6980873266939039000,Sat,03,Jul,2021,18:13:38,Front Door,motion,human
6980874125932498000,Sat,03,Jul,2021,18:16:57,Front Door,motion,human
6980881281348013000,Sat,03,Jul,2021,18:44:44,Front Door,motion,human
6980881676485004000,Sat,03,Jul,2021,18:46:15,Front Door,motion,human
6980881955657879000,Sat,03,Jul,2021,18:47:21,Front Door,motion,human
6980882492528791000,Sat,03,Jul,2021,18:49:26,Front Door,motion,human
6980882788881534000,Sat,03,Jul,2021,18:50:34,Front Door,motion,human
6980883123888983000,Sat,03,Jul,2021,18:51:52,Front Door,motion,other_motion
6980884472508714000,Sat,03,Jul,2021,18:57:08,Front Door,motion,human
6980884751681588000,Sat,03,Jul,2021,18:58:11,Front Door,motion,human
6980885060919234000,Sat,03,Jul,2021,18:59:23,Front Door,motion,human
6980885344387075000,Sat,03,Jul,2021,19:00:29,Front Door,motion,human
6980885632149884000,Sat,03,Jul,2021,19:01:37,Front Door,motion,human
6980889995836657000,Sat,03,Jul,2021,19:18:31,Front Door,motion,human
6980891919982005000,Sat,03,Jul,2021,19:26:02,Front Door,motion,human
6980893277191671000,Sat,03,Jul,2021,19:31:17,Front Door,motion,human
6980900462671957000,Sat,03,Jul,2021,19:59:09,Front Door,motion,human
6980900849219014000,Sat,03,Jul,2021,20:00:40,Front Door,motion,other_motion
6980903722552135000,Sat,03,Jul,2021,20:11:50,Front Door,motion,human
6980906217928134000,Sat,03,Jul,2021,20:21:29,Front Door,motion,human
6980907987454660000,Sat,03,Jul,2021,20:28:23,Front Door,motion,human
6980908309577207000,Sat,03,Jul,2021,20:29:37,Front Door,motion,human
6980908614519885000,Sat,03,Jul,2021,20:30:47,Front Door,motion,human
6980908889397792000,Sat,03,Jul,2021,20:31:50,Front Door,motion,human
6980909984614452000,Sat,03,Jul,2021,20:36:07,Front Door,motion,human
6980915894489452000,Sat,03,Jul,2021,20:59:02,Front Door,motion,human
6980916165072391000,Sat,03,Jul,2021,21:00:06,Front Door,motion,human
6980916457130167000,Sat,03,Jul,2021,21:01:14,Front Door,motion,human
6980916946756439000,Sat,03,Jul,2021,21:03:07,Front Door,motion,human
6980917255994084000,Sat,03,Jul,2021,21:04:19,Front Door,motion,human
6980917573821664000,Sat,03,Jul,2021,21:05:33,Front Door,motion,human
6980918527304404000,Sat,03,Jul,2021,21:09:14,Front Door,motion,human
6980918978275970000,Sat,03,Jul,2021,21:11:00,Front Door,motion,other_motion
6980919549506620000,Sat,03,Jul,2021,21:13:14,Front Door,motion,human
6980920198046682000,Sat,03,Jul,2021,21:15:45,Front Door,motion,human
6980920726327660000,Sat,03,Jul,2021,21:17:48,Front Door,motion,human
6980926653382528000,Sat,03,Jul,2021,21:40:48,Front Door,motion,other_motion
6980927233203113000,Sat,03,Jul,2021,21:43:02,Front Door,motion,other_motion
6980927606865268000,Sat,03,Jul,2021,21:44:29,Front Door,motion,human
6980928190980820000,Sat,03,Jul,2021,21:46:45,Front Door,motion,human
6980928547463106000,Sat,03,Jul,2021,21:48:07,Front Door,motion,other_motion
6980937343556128000,Sat,03,Jul,2021,22:22:16,Front Door,motion,human
6980940049385524000,Sat,03,Jul,2021,22:32:47,Front Door,motion,other_motion
6980942338603093000,Sat,03,Jul,2021,22:41:40,Front Door,motion,human
6980946440296861000,Sat,03,Jul,2021,22:57:35,Front Door,motion,other_motion
6980949923515338000,Sat,03,Jul,2021,23:11:05,Front Door,motion,human
6980950408846642000,Sat,03,Jul,2021,23:12:57,Front Door,motion,other_motion
6980955893519879000,Sat,03,Jul,2021,23:34:17,Front Door,motion,human
6980956172692753000,Sat,03,Jul,2021,23:35:21,Front Door,motion,human
6980956696678764000,Sat,03,Jul,2021,23:37:21,Front Door,motion,human
6980957151945297000,Sat,03,Jul,2021,23:39:07,Front Door,motion,other_motion
6980960824142335000,Sat,03,Jul,2021,23:53:24,Front Door,motion,other_motion
6980963620166045000,Sun,04,Jul,2021,00:04:15,Front Door,motion,human
6980967915133341000,Sun,04,Jul,2021,00:20:55,Front Door,motion,human
6980973730519059000,Sun,04,Jul,2021,00:43:28,Front Door,motion,human
6980974228735266000,Sun,04,Jul,2021,00:45:25,Front Door,motion,other_motion
6980974507908140000,Sun,04,Jul,2021,00:46:30,Front Door,motion,human
6980986967608266000,Sun,04,Jul,2021,01:34:51,Front Door,motion,other_motion
6980989986970275000,Sun,04,Jul,2021,01:46:34,Front Door,motion,human
6981040916692471000,Sun,04,Jul,2021,05:04:11,Front Door,motion,other_motion
6981088453390503000,Sun,04,Jul,2021,08:08:40,Front Door,motion,human
6981090106952912000,Sun,04,Jul,2021,08:15:04,Front Door,motion,human
6981099315362794000,Sun,04,Jul,2021,08:50:49,Front Door,motion,human
6981103120703819000,Sun,04,Jul,2021,09:05:33,Front Door,motion,human
6981103752064011000,Sun,04,Jul,2021,09:08:00,Front Door,motion,human
6981104520863157000,Sun,04,Jul,2021,09:11:00,Front Door,motion,human
6981117268326092000,Sun,04,Jul,2021,10:00:28,Front Door,motion,human
6981117813786938000,Sun,04,Jul,2021,10:02:37,Front Door,motion,human
6981118621240790000,Sun,04,Jul,2021,10:05:43,Front Door,motion,human
6981119007787847000,Sun,04,Jul,2021,10:07:15,Front Door,motion,human
6981119286960721000,Sun,04,Jul,2021,10:08:19,Front Door,motion,human
6981119845306469000,Sun,04,Jul,2021,10:10:28,Front Door,motion,human
6981120249033395000,Sun,04,Jul,2021,10:12:01,Front Door,motion,human
6981120515321368000,Sun,04,Jul,2021,10:13:05,Front Door,motion,human
6981120893278490000,Sun,04,Jul,2021,10:14:32,Front Door,motion,other_motion
6981137961478524000,Sun,04,Jul,2021,11:20:47,Front Door,motion,other_motion
6981138390975254000,Sun,04,Jul,2021,11:22:26,Front Door,motion,human
6981139447537208000,Sun,04,Jul,2021,11:26:32,Front Door,motion,other_motion
6981139894213807000,Sun,04,Jul,2021,11:28:16,Front Door,motion,human
6981140280760864000,Sun,04,Jul,2021,11:29:47,Front Door,motion,other_motion
6981140547048836000,Sun,04,Jul,2021,11:30:49,Front Door,motion,human
6981141509121510000,Sun,04,Jul,2021,11:34:32,Front Door,motion,human
6981159148552195000,Sun,04,Jul,2021,12:42:59,Front Door,motion,other_motion
6981160754869964000,Sun,04,Jul,2021,12:49:14,Front Door,motion,human
6981162734849887000,Sun,04,Jul,2021,12:56:55,Front Door,motion,human
6981168477221162000,Sun,04,Jul,2021,13:19:10,Front Door,motion,human
6981172420001140000,Sun,04,Jul,2021,13:34:30,Front Door,motion,other_motion
6981173094311005000,Sun,04,Jul,2021,13:37:07,Front Door,motion,human
6981178235386858000,Sun,04,Jul,2021,13:57:02,Front Door,motion,human
6981179072905481000,Sun,04,Jul,2021,14:00:19,Front Door,motion,human
6981179833114693000,Sun,04,Jul,2021,14:03:16,Front Door,motion,human
6981197584214527000,Sun,04,Jul,2021,15:12:08,Front Door,motion,human
